,F1
961,48411.52596944864
962,544884.6511423476
963,-1194891.4517660409
964,-476813.4874701799
965,-375016.60399508727
966,-210074.76284054204
967,473778.9720010476
968,286729.1384765605
969,289498.70809250226
970,52834.83214421656
971,264935.6914940112
972,-570639.6655737509
973,479048.60315179307
974,815159.2732649209
975,-20308.68776845227
976,977412.5342779768
977,-199036.92011616795
978,-696883.5585416009
979,356061.81295901106
980,15861.53516889233
981,86539.09134998448
982,-61343.17232933742
983,-253306.1357213732
984,-292185.68118466384
985,-227902.2284394425
986,127362.50294590073
987,409291.2938888808
988,100832.22359629934
989,inf
990,-337080.18681256496
991,-101845.37488542475
992,80167.74590928035
993,-15076.785822412785
994,13727.058210458072
995,195595.55970791186
996,508977.01920019835
997,-870761.3698522301
998,295294.6847923338
999,188507.72078367675
1000,-36682.47515756987
1001,-366286.43290818005
1002,29609.070786049677
1003,117340.73697835514
1004,-701163.4308628431
1005,904563.4154809401
1006,110024.0796655244
1007,325355.42565208586
1008,-355585.72596913564
1009,315926.28063594765
1010,-200771.7766973584
1011,320366.0212280149
1012,-105180.42244408494
1013,inf
1014,166064.11908049518
1015,638240.8359818115
1016,-360191.0710925894
1017,-234704.3017690372
1018,1222440.748058799
1019,-90427.81379991618
1020,-262486.28212691983
1021,103473.05270578769
1022,86273.33603220529
1023,57051.80053536738
1024,368925.4806282916
1025,367809.6541263799
1026,710280.1143391074
1027,733376.667415814
1028,745079.8528303213
1029,-671188.2549034565
1030,-207621.1212139382
1031,-387937.40299432457
1032,-42634.57464239322
1033,-174994.54989201413
1034,611389.8442220677
1035,-221380.57163371093
1036,-393863.33022475714
1037,255741.80433942238
1038,-25081.139856082944
1039,79617.98982820769
1040,-19181.825724485047
1041,175125.95419949834
1042,-136769.5434063822
1043,-1112399.1070524491
1044,-206587.7961278432
1045,-935773.2919465087
1046,88513.24545656375
1047,602799.67171798
1048,-1043884.6771559428
1049,-251926.89324262933
1050,134338.28222385602
1051,-794223.7357350813
1052,-168534.9927242122
1053,107535.30430003846
1054,404680.2719044258
1055,-135113.08016180317
1056,65196.890152771135
1057,-350495.1856682428
1058,153227.84729068473
1059,82653.83203675089
1060,523883.51765869494
1061,448861.5370459235
1062,278849.6956542119
1063,39354.05527210732
1064,805969.1219607777
1065,-inf
1066,438341.06063288625
1067,-539893.1519281508
1068,295965.07556360477
1069,-87566.10875781358
1070,-210188.9436046039
1071,-183122.1739773732
1072,-13245.781239237302
1073,306782.5160461866
1074,-18867.427630258408
1075,38380.46906009263
1076,-624088.8712192838
1077,336055.0881976974
1078,-237434.4665568228
1079,-213096.20049264608
1080,-438674.39397948806
1081,-719488.6029070425
1082,238479.4095444472
1083,295597.9018869725
1084,211924.83488328717
1085,419545.674645525
1086,526666.4975317026
1087,-60222.84229226373
1088,63635.04882931842
1089,885303.6164295259
1090,862776.4660891469
1091,-57974.55877441168
1092,-464641.6461786581
1093,-47376.4168283368
1094,-453736.4985744376
1095,789119.8791203654
1096,-196228.81859583477
1097,-478183.49109623197
1098,409157.55273162684
1099,-67628.86144320563
1100,740165.0652357335
1101,-375866.247512027
1102,-257273.38746857332
1103,-197.1981577531031
1104,-147106.03719731816
1105,472816.609646356
1106,81718.74122888374
1107,-789378.9355278151
1108,-416512.26798734063
1109,inf
1110,-728725.3447988662
1111,495293.4693599852
1112,-264283.41755958914
1113,2729.29069687518
1114,-1412066.4364663644
1115,426942.9358525471
1116,491041.39820543985
1117,181141.41702933024
1118,-163329.52670347813
1119,-305139.01199076953
1120,197932.22176432307
1121,-622249.5467408295
1122,105277.72965981573
1123,135619.6791974041
1124,-935913.993676529
1125,412854.12952022377
1126,445110.47094870347
1127,-141589.77811763922
1128,-472579.90840070666
1129,-98159.2323666735
1130,-999569.2292200953
1131,-682529.3726151919
1132,-1303491.3941014318
1133,-855484.0758575557
1134,-1634061.9523500518
1135,-744071.6323997003
1136,547348.0658805605
1137,961979.9793126739
1138,-98304.09645657643
1139,-118478.0871162228
1140,761707.0070354957
1141,-1718269.097440535
1142,-120528.37661231293
1143,376806.6026747655
1144,194118.7356647052
1145,318778.58881345193
1146,776535.8037776022
1147,-1186880.123087722
1148,685873.6282901769
1149,288421.4345731476
1150,-73133.26178581546
1151,158643.4463558703
1152,572281.057112208
1153,-222496.18284478984
1154,1420795.9147505912
1155,194696.25999266014
1156,-550570.7541872318
1157,-1051661.4450257586
1158,-48213.08181088767
1159,-358334.0741177045
1160,1266320.0095124128
1161,69341.88157900597
1162,431587.2564759203
1163,179842.83374302773
1164,-89941.12164426966
1165,-335913.03857514967
1166,483749.4547125588
1167,-114498.59892948162
1168,-371073.3360426383
1169,261511.88336408348
1170,536704.2774933568
1171,67971.09735504555
1172,273183.1907520576
1173,-666463.2352242335
1174,42272.75091739144
1175,-153554.76120102976
1176,195325.51763560955
1177,-162404.17978788548
1178,-154268.02262514108
1179,-89907.84613130565
1180,-196980.07629016798
1181,335217.4886209306
1182,336421.0240056267
1183,221024.23642512973
1184,-454917.76339678373
1185,229518.99745097558
1186,-234635.36880623034
1187,-566817.6400123218
1188,243959.33924171195
1189,222013.7889203338
1190,102637.22887090269
1191,55815.4590805683
1192,-456307.37207229267
1193,215636.7199796912
1194,-864428.5042833107
1195,-78410.7186354559
1196,-147694.37640296808
1197,455818.90527989547
1198,229448.09165965914
1199,1042047.7912644326
1200,692932.4407642075
1201,-183036.61332194245
1202,-137495.6937043764
1203,-411664.198126982
1204,252603.43503897745
1205,111511.90277437973
1206,-364922.12302201526
1207,-757006.1612934426
1208,-411811.5772751356
1209,112967.7260441503
1210,-451942.5638279913
1211,-261239.12938054674
1212,-29045.750555102222
1213,-633350.139633066
1214,421594.4650681141
1215,-210006.4095159741
1216,-663684.9810886364
1217,421818.8118153728
1218,109119.08188447962
1219,485737.3729760794
1220,-175907.841355294
1221,445351.4715600824
1222,-145773.48475342704
1223,223711.20900515612
1224,-600413.9058487876
1225,-184059.13485445667
1226,-160485.97373781764
1227,265688.2601697457
1228,563990.8408350503
1229,203864.82612942538
1230,-18623.10982100519
1231,407534.68057920743
1232,-427132.7779518123
1233,-562534.2712622938
1234,437248.1753125867
1235,118721.13850502906
1236,-207631.26745631732
1237,748263.0886004923
1238,-23689.63314156255
1239,-228995.51107906076
1240,-196120.34447211737
1241,142281.09409407253
1242,-42605.917786417485
1243,422460.66280461074
1244,-657289.7663197371
1245,344668.11576981586
1246,-362773.626407125
1247,89022.72371811242
1248,133613.57165366074
1249,75489.02200346491
1250,332155.2456582767
1251,140865.35960777878
1252,301811.46810322365
1253,-932543.0687584556
1254,-531295.4441926572
1255,457250.01469988876
1256,153594.75381310147
